Index,Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD,Region,Exchange,Currency,Total Traded,MA50,MA100,MA200,Return,Cumulative Return,Percentage Change,Stock Return
000001.SS,1997-08-14,1120.470947,1168.334961,1120.244995,1168.113037,1168.113037,0.0,186.89808592000003,China,Shanghai Stock Exchange,CNY,0.0,,,,0.04283986192054434,0.9741898059426142,1.0128652192374705,1.2865219237470527
000001.SS,1997-08-15,1174.182983,1174.881958,1133.890015,1143.063965,1143.063965,0.0,182.89023440000005,China,Shanghai Stock Exchange,CNY,0.0,,,,-0.021444047970162305,0.9532992330119376,1.0056036986125934,0.5603698612593355
000001.SS,1997-08-18,1139.605957,1139.605957,1116.147949,1134.634033,1134.634033,0.0,181.54144528,China,Shanghai Stock Exchange,CNY,0.0,,,,-0.0073748558769412,0.946268788560876,0.9699748551249776,-3.002514487502239
000001.SS,1997-08-19,1134.616943,1143.20105,1128.109009,1132.905029,1132.905029,0.0,181.26480464,China,Shanghai Stock Exchange,CNY,0.0,,,,-0.0015238428865284037,0.9448268235986838,1.0031546807718204,0.31546807718203507
000001.SS,1997-08-20,1135.050049,1144.645996,1133.741943,1144.639038,1144.639038,0.0,183.14224608,China,Shanghai Stock Exchange,CNY,0.0,,,,0.010357451595353506,0.9546128216900988,1.001263947404527,0.1263947404527066
000001.SS,1997-08-21,1148.386963,1165.218018,1147.81604,1164.545044,1164.545044,0.0,186.32720704,China,Shanghai Stock Exchange,CNY,0.0,,,,0.017390640489408193,0.9712141500786908,1.0179723880325355,1.7972388032535536
000001.SS,1997-08-22,1159.385986,1174.485962,1156.82605,1171.833008,1171.833008,0.0,187.49328128,China,Shanghai Stock Exchange,CNY,0.0,,,,0.006258207046218933,0.9772922093161008,1.0079538282594596,0.7953828259459561
000001.SS,1997-08-25,1175.444946,1184.333984,1175.384033,1184.095947,1184.095947,0.0,189.45535152,China,Shanghai Stock Exchange,CNY,0.0,,,,0.010464749598519507,0.9875193275711778,1.0083849635658737,0.8384963565873704
000001.SS,1997-08-26,1186.06897,1194.130981,1181.243042,1194.042969,1194.042969,0.0,191.04687504,China,Shanghai Stock Exchange,CNY,0.0,,,,0.008400520266285572,0.9958150036957881,1.008272157290388,0.8272157290388105
000001.SS,1997-08-27,1195.427979,1199.473999,1188.331055,1198.512939,1198.512939,0.0,191.76207024,China,Shanghai Stock Exchange,CNY,0.0,,,,0.0037435587462513187,0.9995428956625217,1.0044743986087068,0.4474398608706798
000001.SS,1997-08-28,1201.05896,1216.07605,1194.675049,1213.891968,1213.891968,0.0,194.22271488,China,Shanghai Stock Exchange,CNY,0.0,,,,0.012831758840110341,1.0123687890500088,1.0138411095312119,1.384110953121187
000001.SS,1997-08-29,1214.310059,1223.071045,1209.479004,1221.063965,1221.063965,0.0,195.3702344,China,Shanghai Stock Exchange,CNY,0.0,,,,0.005908266294748277,1.0183501334442082,1.0057521032504506,0.5752103250450613
000001.SS,1997-09-01,1224.177002,1230.06604,1219.100952,1229.86499,1229.86499,0.0,196.7783984,China,Shanghai Stock Exchange,CNY,0.0,,,,0.007207669092093694,1.0256900642259634,1.005719205788246,0.5719205788246029
000001.SS,1997-09-02,1228.474976,1232.69104,1215.921997,1226.302979,1226.302979,0.0,196.20847664,China,Shanghai Stock Exchange,CNY,0.0,,,,-0.00289626180837943,1.0227193972657116,1.0021340317630425,0.21340317630424988
000001.SS,1997-09-03,1223.620972,1243.32605,1223.46106,1240.819946,1240.819946,0.0,198.53119136,China,Shanghai Stock Exchange,CNY,0.0,,,,0.011837993749177711,1.0348263430977058,1.0086274740830434,0.8627474083043429
000001.SS,1997-09-04,1245.775024,1253.152954,1245.640015,1251.297974,1251.297974,0.0,200.20767584,China,Shanghai Stock Exchange,CNY,0.0,,,,0.008444438722779779,1.0435648707407126,1.0079037224386957,0.7903722438695748
000001.SS,1997-09-05,1250.604004,1253.349976,1241.217041,1251.550049,1251.550049,0.0,200.24800784,China,Shanghai Stock Exchange,CNY,0.0,,,,0.0002014508176610974,1.0437750977372058,1.000157221031456,0.015722103145598965
000001.SS,1997-09-08,1253.14502,1257.54895,1245.744019,1255.229004,1255.229004,0.0,200.83664064,China,Shanghai Stock Exchange,CNY,0.0,,,,0.0029395188813581274,1.0468432943448958,1.0033502007263773,0.33502007263772615
000001.SS,1997-09-09,1255.18103,1257.927002,1230.442017,1231.026978,1231.026978,0.0,196.96431648,China,Shanghai Stock Exchange,CNY,0.0,,,,-0.019280964607156226,1.026659145837393,1.0003006260710565,0.030062607105652006
000001.SS,1997-09-10,1230.426025,1256.041016,1227.642944,1256.041016,1256.041016,0.0,200.96656256,China,Shanghai Stock Exchange,CNY,0.0,1183.72118164,,,0.02031965054140339,1.0475205009059445,0.9985007190425188,-0.14992809574811972
000001.SS,1997-09-11,1260.519043,1264.489014,1236.113037,1242.713013,1242.713013,0.0,198.83408208,China,Shanghai Stock Exchange,CNY,0.0,1183.81338134,,,-0.01061112083938498,1.0364051342890985,1.0067258934162069,0.6725893416206885
000001.SS,1997-09-12,1240.495972,1247.907959,1207.831055,1208.697021,1208.697021,0.0,193.39152336,China,Shanghai Stock Exchange,CNY,0.0,1184.7297802799999,,,-0.02737236324409531,1.008036276485292,0.9868871498159175,-1.311285018408248
000001.SS,1997-09-15,1205.901001,1211.68396,1175.947998,1179.286011,1179.286011,0.0,188.68576176,China,Shanghai Stock Exchange,CNY,0.0,1186.06937988,,,-0.0243328224435162,0.9835079087529521,0.9709722189535296,-2.9027781046470413
000001.SS,1997-09-16,1182.756958,1193.847046,1181.168945,1187.219971,1187.219971,0.0,189.95519536,China,Shanghai Stock Exchange,CNY,0.0,1186.49037842,,,0.006727765720948575,0.9901247195477421,0.9852792356845262,-1.4720764315473756
000001.SS,1997-09-17,1188.88501,1191.295044,1162.243042,1167.557007,1167.557007,0.0,186.80912112,China,Shanghai Stock Exchange,CNY,0.0,1188.41209962,,,-0.01656219106846535,0.9737260847609817,0.9978623710561997,-0.21376289438003182
000001.SS,1997-09-18,1169.670044,1181.748047,1164.64502,1172.365967,1172.365967,0.0,187.57855472,China,Shanghai Stock Exchange,CNY,0.0,1189.5326806799999,,,0.004118822439648007,0.9777366896089658,0.991986034821446,-0.8013965178554017
000001.SS,1997-09-19,1174.769043,1185.089966,1168.869019,1184.520996,1184.520996,0.0,189.52335936,China,Shanghai Stock Exchange,CNY,0.0,1190.60288088,,,0.010367947673458833,0.9878738124452524,1.0028279454393716,0.2827945439371593
000001.SS,1997-09-22,1184.493042,1185.099976,1102.616943,1103.973999,1103.973999,0.0,176.63583984000002,China,Shanghai Stock Exchange,CNY,0.0,1191.96444094,,,-0.06799963636946793,0.9206987524200553,1.0000084466161112,0.000844661611121289
000001.SS,1997-09-23,1096.187012,1105.281982,1025.130005,1041.964966,1041.964966,0.0,166.71439456000002,China,Shanghai Stock Exchange,CNY,0.0,1190.0987012,,,-0.05616892522484129,0.8689840930407685,0.9326487253257695,-6.735127467423052
000001.SS,1997-09-24,1064.661011,1110.107056,1064.661011,1110.011963,1110.011963,0.0,177.60191408,China,Shanghai Stock Exchange,CNY,0.0,1187.360022,,,0.0653064154942038,0.9257343292787428,1.004365468793103,0.43654687931029557
000001.SS,1997-09-25,1118.369019,1130.125977,1106.245972,1117.01001,1117.01001,0.0,178.7216016,China,Shanghai Stock Exchange,CNY,0.0,1185.96206302,,,0.006304478900467592,0.9315706018251191,1.0180333247066577,1.803332470665775
000001.SS,1997-09-26,1118.689941,1118.94104,1094.42395,1109.634033,1109.634033,0.0,177.54144528,China,Shanghai Stock Exchange,CNY,0.0,1184.34788088,,,-0.006603322202994311,0.9254191409864305,0.9901029290294776,-0.9897070970522392
000001.SS,1997-09-29,1106.342041,1106.342041,1079.339966,1084.072021,1084.072021,0.0,173.45152335999998,China,Shanghai Stock Exchange,CNY,0.0,1182.1579419199998,,,-0.023036434752177537,0.9041007833266804,0.9887402476541571,-1.1259752345842866
000001.SS,1997-09-30,1083.41394,1100.385986,1083.232056,1097.383057,1097.383057,0.0,175.58128912,China,Shanghai Stock Exchange,CNY,0.0,1180.0438598800001,,,0.012278737705748943,0.915201999704711,0.9946164433970017,-0.5383556602998274
000001.SS,1997-10-06,1100.699951,1105.411011,1091.151978,1098.902954,1098.902954,0.0,175.82447263999998,China,Shanghai Stock Exchange,CNY,0.0,1177.67675782,,,0.001385019561132017,0.9164695723766891,1.0045666021413688,0.4566602141368836
000001.SS,1997-10-07,1098.293945,1102.712036,1087.017944,1102.572998,1102.572998,0.0,176.41167968000002,China,Shanghai Stock Exchange,CNY,0.0,1175.7485376,,,0.003339734402060923,0.9195303373359976,0.9975583968558822,-0.24416031441177877
000001.SS,1997-10-08,1122.968018,1140.937012,1116.713013,1134.868042,1134.868042,0.0,181.57888672,China,Shanghai Stock Exchange,CNY,0.0,1174.8765771600001,,,0.029290617545125075,0.9464639487680462,1.034664513265547,3.466451326554698
000001.SS,1997-10-09,1134.590942,1138.656982,1120.088013,1122.465942,1122.465942,0.0,179.59455072,China,Shanghai Stock Exchange,CNY,0.0,1174.21213624,,,-0.010928230896469326,0.9361207722007249,0.9980016162364622,-0.1998383763537781
000001.SS,1997-10-10,1121.338013,1131.569946,1120.512939,1130.785034,1130.785034,0.0,180.92560544,China,Shanghai Stock Exchange,CNY,0.0,1173.8925171,,,0.007411442689456704,0.9430587776543005,0.9937759693111864,-0.6224030688813609
000001.SS,1997-10-13,1136.428955,1138.401001,1117.389038,1119.817017,1119.817017,0.0,179.17072272,China,Shanghai Stock Exchange,CNY,0.0,1173.47929688,,,-0.009699471314368213,0.9339116060926794,1.0060367942999433,0.6036794299943304
000001.SS,1997-10-14,1116.29895,1118.021973,1105.703979,1117.927979,1117.927979,0.0,178.86847664,China,Shanghai Stock Exchange,CNY,0.0,1172.10653564,,,-0.0016869166759591048,0.9323361750304899,0.9820985505264853,-1.7901449473514686
000001.SS,1997-10-15,1119.108032,1129.654053,1116.428955,1125.781982,1125.781982,0.0,180.12511712,China,Shanghai Stock Exchange,CNY,0.0,1170.65567626,,,0.007025499985272132,0.9388863028144353,1.0104041604556193,1.0404160455619316
000001.SS,1997-10-16,1131.400024,1151.394043,1131.394043,1150.307007,1150.307007,0.0,184.04912112,China,Shanghai Stock Exchange,CNY,0.0,1169.35859618,,,0.021784879658875322,0.9593398279346141,1.0192448209629006,1.9244820962900588
000001.SS,1997-10-17,1155.421997,1180.218018,1153.895996,1176.489014,1176.489014,0.0,188.23824224,China,Shanghai Stock Exchange,CNY,0.0,1168.39987548,,,0.022760886303111905,0.9811752526842809,1.0250339796138759,2.503397961387588
000001.SS,1997-10-20,1183.744019,1191.040039,1173.557007,1187.368042,1187.368042,0.0,189.97888672,China,Shanghai Stock Exchange,CNY,0.0,1168.15405518,,,0.009247028973957017,0.990248208674382,1.0091695100692828,0.9169510069282794
000001.SS,1997-10-21,1190.494995,1192.339966,1179.573975,1191.869995,1191.869995,0.0,190.6991992,China,Shanghai Stock Exchange,CNY,0.0,1168.60541504,,,0.0037915396412528946,0.9940027740122506,1.0010914217469058,0.10914217469057963
000001.SS,1997-10-22,1193.70105,1203.017944,1168.480957,1177.52002,1177.52002,0.0,188.4032032,China,Shanghai Stock Exchange,CNY,0.0,1168.36039552,,,-0.012039882755837006,0.9820350971541664,1.0089554810745982,0.8955481074598204
000001.SS,1997-10-23,1178.983032,1186.067017,1170.232056,1173.364014,1173.364014,0.0,187.73824224,China,Shanghai Stock Exchange,CNY,0.0,1167.81093506,,,-0.0035294567645651753,0.9785690467374751,0.985909664037397,-1.4090335962603007
000001.SS,1997-10-24,1172.884033,1179.805054,1164.063965,1178.30603,1178.30603,0.0,188.5289648,China,Shanghai Stock Exchange,CNY,0.0,1167.723396,,,0.004211835322230906,0.9826906184137658,0.9947203969841106,-0.5279603015889367
000001.SS,1997-10-27,1183.646973,1235.944946,1183.646973,1235.827026,1235.827026,0.0,197.73232416,China,Shanghai Stock Exchange,CNY,0.0,1168.61141602,,,0.048816686442655355,1.0306623182030097,1.0475840409478363,4.75840409478363
000001.SS,1997-10-28,1239.584961,1241.833008,1172.891968,1177.92395,1177.92395,0.0,188.467832,China,Shanghai Stock Exchange,CNY,0.0,1170.9936963,,,-0.04685370588424065,0.9823719690799563,1.0047640164062777,0.476401640627766
000001.SS,1997-10-29,1168.224976,1188.796997,1162.980957,1184.08606,1184.08606,0.0,189.4537696,China,Shanghai Stock Exchange,CNY,0.0,1170.87453616,,,0.0052313309360931814,0.987511081952555,0.9572921555005082,-4.270784449949183
000001.SS,1997-10-30,1189.265015,1207.969971,1173.649048,1174.845947,1174.845947,0.0,187.97535152,China,Shanghai Stock Exchange,CNY,0.0,1171.8677173199999,,,-0.0078035822835378355,0.9798049579686328,1.0161280471336858,1.6128047133685763
000001.SS,1997-10-31,1164.912964,1181.505981,1158.735962,1180.392944,1180.392944,0.0,188.86287104,China,Shanghai Stock Exchange,CNY,0.0,1172.4736377400002,,,0.004721467537224244,0.984431075270493,0.9780921789155966,-2.1907821084403367
000001.SS,1997-11-03,1181.161987,1185.06897,1176.546997,1180.854004,1180.854004,0.0,188.93664064,China,Shanghai Stock Exchange,CNY,0.0,1173.3958765,,,0.00039059874285385376,0.9848155928109199,1.0030156334858198,0.3015633485819791
000001.SS,1997-11-04,1180.86499,1190.470947,1180.86499,1184.699951,1184.699951,0.0,189.55199216000003,China,Shanghai Stock Exchange,CNY,0.0,1174.04543704,,,0.0032569199807701565,0.9880230583925198,1.0045583650713594,0.4558365071359427
000001.SS,1997-11-05,1186.094971,1194.672974,1179.350952,1194.037964,1194.037964,0.0,191.04607424,China,Shanghai Stock Exchange,CNY,0.0,1174.5796167400001,,,0.007882175560248728,0.9958108295963435,1.0035297182267147,0.3529718226714662
000001.SS,1997-11-06,1198.657959,1203.08606,1179.582031,1181.123047,1181.123047,0.0,188.97968752,China,Shanghai Stock Exchange,CNY,0.0,1175.0438769999998,,,-0.010816169493250816,0.9850399708802148,1.0070421665033833,0.7042166503383296
000001.SS,1997-11-07,1181.776001,1195.73999,1177.631958,1195.140991,1195.140991,0.0,191.22255856,China,Shanghai Stock Exchange,CNY,0.0,1174.95801762,,,0.011868318068642303,0.9967307385649473,0.9938939779586508,-0.6106022041349246
000001.SS,1997-11-10,1199.368042,1202.578979,1178.630981,1185.784058,1185.784058,0.0,189.72544928,China,Shanghai Stock Exchange,CNY,0.0,1175.0368188799998,,,-0.00782914574134963,0.9889271883478393,1.0057194616364715,0.5719461636471523
000001.SS,1997-11-11,1183.417969,1187.744019,1168.482056,1186.634033,1186.634033,0.0,189.86144528,China,Shanghai Stock Exchange,CNY,0.0,1174.6839990600001,,,0.0007168042058465218,0.989636055515723,0.9876640451404398,-1.2335954859560183
000001.SS,1997-11-12,1190.014038,1193.531006,1171.293945,1185.024048,1185.024048,0.0,189.60384768,China,Shanghai Stock Exchange,CNY,0.0,1174.19807864,,,-0.001356766244037133,0.9882933507217172,1.0048722510132042,0.48722510132042096
000001.SS,1997-11-13,1169.703979,1185.281982,1157.293945,1185.024048,1185.024048,0.0,189.60384768,China,Shanghai Stock Exchange,CNY,0.0,1173.1086181800001,,,0.0,0.9882933507217172,0.9930885549193684,-0.6911445080631573
000001.SS,1997-11-14,1187.350952,1208.842041,1181.687012,1197.832031,1197.832031,0.0,191.65312496,China,Shanghai Stock Exchange,CNY,0.0,1172.2861377,,,0.010808205134415827,0.9989750279892967,1.0198771763662904,1.9877176366290383
000001.SS,1997-11-17,1210.677002,1213.228027,1190.43103,1191.333008,1191.333008,0.0,190.61328128,China,Shanghai Stock Exchange,CNY,0.0,1172.0272582999999,,,-0.005425654709345307,0.9935549344241682,1.003628254024299,0.36282540242988937
000001.SS,1997-11-18,1190.260986,1193.311035,1182.607056,1183.348999,1183.348999,0.0,189.33583984,China,Shanghai Stock Exchange,CNY,0.0,1170.9169775399998,,,-0.006701744135674925,0.9868963834689202,0.9835834718974884,-1.6416528102511596
000001.SS,1997-11-19,1185.103027,1191.963989,1175.782959,1181.626953,1181.626953,0.0,189.06031248,China,Shanghai Stock Exchange,CNY,0.0,1169.6069579999998,,,-0.001455230875637925,0.9854602213806408,0.9988711694097425,-0.11288305902574791
000001.SS,1997-11-20,1182.739014,1189.494995,1169.097046,1172.427002,1172.427002,0.0,187.58832032,China,Shanghai Stock Exchange,CNY,0.0,1168.1988378800002,,,-0.007785833741048798,0.977787591938554,0.9979286337315681,-0.20713662684318512
000001.SS,1997-11-21,1168.968018,1169.10498,1152.008057,1158.555054,1158.555054,0.0,185.36880864,China,Shanghai Stock Exchange,CNY,0.0,1166.47457764,,,-0.011831822344876342,0.9662185828597126,0.9828582591051592,-1.7141740894840773
000001.SS,1997-11-24,1150.416016,1150.562988,1122.935059,1124.94104,1124.94104,0.0,179.9905664,China,Shanghai Stock Exchange,CNY,0.0,1164.87437746,1174.29777955,,-0.0290137390398022,0.9381849690412134,0.9841400111049051,-1.5859988895094879
000001.SS,1997-11-25,1120.864014,1131.126953,1114.137939,1125.527954,1125.527954,0.0,180.08447264,China,Shanghai Stock Exchange,CNY,0.0,1162.08127688,1172.94732911,,0.0005217286765535345,0.9386744470434737,0.9831073698678721,-1.689263013212794
000001.SS,1997-11-26,1126.595947,1143.817993,1124.477051,1143.817993,1143.817993,0.0,183.01087888,China,Shanghai Stock Exchange,CNY,0.0,1159.80327638,1172.26652833,,0.01625018635476727,0.9539280817343883,1.0112198192840693,1.1219819284069343
000001.SS,1997-11-27,1141.77002,1141.970947,1120.519043,1122.515991,1122.515991,0.0,179.60255856,China,Shanghai Stock Exchange,CNY,0.0,1158.52065676,1172.29501832,,-0.018623594077348926,0.9361625123611829,0.9983851923896079,-0.16148076103921216
000001.SS,1997-11-28,1117.56897,1139.640991,1114.432983,1139.628052,1139.628052,0.0,182.34048832,China,Shanghai Stock Exchange,CNY,0.0,1157.216897,1171.85363771,,0.015244380603215868,0.9504337300060796,0.9979597064127411,-0.2040293587258879
000001.SS,1997-12-01,1137.588013,1139.292969,1130.448975,1133.087036,1133.087036,0.0,181.29392576,China,Shanghai Stock Exchange,CNY,0.0,1156.19095706,1172.30152834,,-0.005739605995588537,0.944978614870927,0.9996946213739692,-0.030537862603075006
000001.SS,1997-12-02,1133.589966,1139.604004,1128.5,1130.166992,1130.166992,0.0,180.82671872,China,Shanghai Stock Exchange,CNY,0.0,1155.4693555000001,1172.50101809,,-0.002577069463532311,0.9425433393388521,1.0002730070389823,0.027300703898225365
000001.SS,1997-12-03,1129.776978,1130.317993,1121.593018,1122.546021,1122.546021,0.0,179.60736336000002,China,Shanghai Stock Exchange,CNY,0.0,1154.5695142,1172.58619754,,-0.006743225606433034,0.9361875569578495,0.9918515458287209,-0.8148454171279074
000001.SS,1997-12-04,1121.802979,1137.012939,1119.20105,1135.873047,1135.873047,0.0,181.73968752,China,Shanghai Stock Exchange,CNY,0.0,1153.31571294,1172.64007694,,0.011872142211263537,0.9473021087704685,1.005923064165537,0.5923064165537006
000001.SS,1997-12-05,1139.477051,1144.222046,1134.932007,1136.203979,1136.203979,0.0,181.79263664,China,Shanghai Stock Exchange,CNY,0.0,1154.1815137199999,1172.14010746,,0.00029134593947266474,0.9475781013933127,1.006340391347121,0.6340391347120944
000001.SS,1997-12-08,1140.546997,1143.079956,1136.578979,1139.322021,1139.322021,0.0,182.29152336,China,Shanghai Stock Exchange,CNY,0.0,1155.6992334400002,1171.52962772,,0.002744262524713603,0.9501785044662056,0.9990018633149111,-0.09981366850888573
000001.SS,1997-12-09,1139.80603,1148.171021,1137.317017,1148.171021,1148.171021,0.0,183.70736336,China,Shanghai Stock Exchange,CNY,0.0,1156.1279736600002,1171.0450183399998,,0.007766899820152107,0.9575584457216565,1.0044538135528291,0.44538135528291445
000001.SS,1997-12-10,1150.475952,1158.989014,1149.832031,1157.842041,1157.842041,0.0,185.25472656,China,Shanghai Stock Exchange,CNY,0.0,1156.76369388,1170.5557873799999,,0.008422978653107815,0.9656239400690732,1.009421935236249,0.9421935236249013
000001.SS,1997-12-11,1159.053955,1159.753052,1145.546021,1159.168945,1159.168945,0.0,185.4670312,China,Shanghai Stock Exchange,CNY,0.0,1157.81793216,1169.98793704,,0.001146014700635467,0.9667305592996779,1.0006592279916124,0.06592279916124433
